regiao_uf,producao_atual_mil_t,ranking,participacao_pct,participacao_acumulada_pct,atinge_80_pct
MT,109088.7,1,30.8704396156931,30.8704396156931,False
PR,44805.4,2,12.679245376991163,43.54968499268426,False
RS,38918.8,3,11.01342728729224,54.5631122799765,False
GO,35883.1,4,10.154370450595499,64.717482730572,False
MS,29183.9,5,8.25859894471587,72.97608167528787,False
MG,18826.7,6,5.327669185834733,78.30375086112261,False
BA,14409.5,7,4.077668902849972,82.38141976397259,True
SP,11811.6,8,3.3425027941915215,85.7239225581641,True
TO,9772.2,9,2.765383674133766,88.48930623229788,True
MA,8803.3,10,2.491199739925685,90.98050597222357,True
SC,7936.3,11,2.245851952787275,93.22635792501084,True
PA,7470.2,12,2.1139527560338567,95.3403106810447,True
PI,6432.2,13,1.820214574892369,97.16052525593707,True
RO,5563.9,14,1.5744989075656308,98.7350241635027,True
SE,1160.5,15,0.3284038142723476,99.06342797777505,True
DF,912.1,16,0.2581103998257719,99.32153837760082,True
RR,701.7,17,0.19857040626876893,99.52010878386959,True
CE,579.82,18,0.1640802236892655,99.68418900755886,True
PE,342.8,19,0.09700717581435654,99.78119618337321,True
AC,237.7,20,0.06726547751188025,99.84846166088509,True
AL,159.7,21,0.04519266621223086,99.89365432709732,True
PB,120.0,22,0.033958171230229824,99.92761249832755,True
AM,101.5,23,0.028722953165569394,99.95633545149312,True
ES,68.1,24,0.019271262173155425,99.97560671366627,True
RN,41.9,25,0.011857061454555246,99.98746377512082,True
AP,35.4,26,0.010017660512917798,99.99748143563373,True
RJ,8.9,27,0.0025185643662420454,99.99999999999997,True
