tipo_linha,produto,periodo_anterior,periodo_atual,area_anterior_mil_ha,area_atual_mil_ha,area_variacao_pct,produtividade_anterior_kg_ha,produtividade_atual_kg_ha,produtividade_variacao_pct,producao_anterior_mil_t,producao_atual_mil_t,producao_variacao_pct,fonte,referencia,source_url
produto,ALGODÃO - CAROÇO (1),2024/25,2025/26,2085.6,2018.1,-3.2,2772.6614827387803,2673.0141672860614,-3.6,5782.799999999999,5394.4,-6.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,ALGODÃO - PLUMA,2024/25,2025/26,2085.6,2018.1,-3.2,1954.4456806674339,1884.4851637679003,-3.6,4076.1,3803.0,-6.7,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,AMENDOIM TOTAL,2024/25,2025/26,280.40000000000003,281.3,0.3,4135.947218259628,4278.256309989335,3.4,1159.6999999999998,1203.3,3.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Amendoim 1ª Safra,2024/25,2025/26,273.1,274.0,0.3,4202.068473086781,4347.806569343065,3.5,1147.6,1191.3,3.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Amendoim 2ª Safra,2024/25,2025/26,7.3,7.3,0.0,1662.2876712328766,1667.7397260273974,0.3,12.100000000000001,12.0,-0.8,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,ARROZ,2024/25,2025/26,1763.8999999999999,1559.9,-11.6,7232.554226430069,6996.99743573306,-3.3,12757.7,10914.599999999999,-14.4,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Arroz sequeiro,2024/25,2025/26,394.6,296.0,-25.0,2934.65433350228,2766.475,-5.7,1158.2,818.8,-29.3,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,Arroz irrigado,2024/25,2025/26,1369.3000000000002,1263.9,-7.7,8471.10771927262,7987.767782261255,-5.7,11599.500000000002,10095.8,-13.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,FEIJÃO TOTAL,2024/25,2025/26,2693.0,2600.6,-3.4,1136.2538804307464,1140.5752211028225,0.4,3059.9,2966.1,-3.1,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
produto,FEIJÃO 1ª SAFRA,2024/25,2025/26,908.5,804.7,-11.4,1169.591084204733,1202.040785385858,2.8,1062.7,967.2,-9.0,Conab,Estimativa em fevereiro/2026,https://www.gov.br/conab/pt-br/atuacao/informacoes-agropecuarias/safras/safra-de-graos/boletim-da-safra-de-graos/5o-levantamento-safra-2025-26/site_previsao_de_safra-por-produto-fev-2026.xlsx
